uuid,name,viaf_id,gnd_id,best_qid,best_label,best_description,best_score,best_reasons,second_qid,second_score,action,signal_source,all_candidates
6ac1e151-0c36-47e1-bdf9-25cd89d4443f,"Alexander, Levy",,,Q366643,Lloyd Alexander,American children's writer (1924-2007),17,search_rank_1|p31_human|name_partial|has_sitelinks,Q131771614,15,manual,name,"[{""qid"": ""Q366643"", ""label"": ""Lloyd Alexander"", ""desc"": ""American children's writer (1924-2007)"", ""score"": 17}, {""qid"": ""Q131771614"", ""label"": ""Levy Alexander"", ""desc"": """", ""score"": 15}]"
98e06976-017c-488e-9bf8-91ec2b5bbba9,Anonym,,,Q4233718,anonymous,"unknown creator of a work (do not use as value of P50; use ""unknown value"" instead)",17,search_rank_0|name_exact|has_sitelinks,Q96207739,16,manual,name,"[{""qid"": ""Q4233718"", ""label"": ""anonymous"", ""desc"": ""unknown creator of a work (do not use as value of P50; use \""unknown value\"" instead)"", ""score"": 17}, {""qid"": ""Q96207739"", ""label"": ""Anonym"", ""desc"": ""German rapper"", ""score"": 16}, {""qid"": ""Q24567005"", ""label"": ""Anonymous Was A Woman Award"", ""desc"": ""פרס האנונימי היה אישה"", ""score"": 12}, {""qid"": ""Q166280"", ""label"": ""S.A."", ""desc"": ""type of corporation in countries that mostly employ civil law"", ""score"": 10}, {""qid"": ""Q474968"", ""label"": ""anonymer Meister"", ""desc"": ""Name der Künstlerin oder des Künstler ist unbekannt"", ""score"": 9}, {""qid"": ""Q308859"", ""label"": ""Anonymität"", ""desc"": ""Situation, in der Person oder Gruppe nicht identifiziert werden kann"", ""score"": 7}, {""qid"": ""Q567633"", ""label"": ""Anonymous Content"", ""desc"": ""U.S. film and television production, and a talent management company"", ""score"": 6}, {""qid"": ""Q130711987"", ""label"": ""Anonym"", ""desc"": ""theatre play by Karel Dvořák"", ""score"": 5}, {""qid"": ""Q59755918"", ""label"": ""anonym"", ""desc"": ""Meta-Objekt für unspezifische Künstler; zu nutzen mit den Eigenschaften \""Text von\"" (P676) und/oder \""Komponist\"" (P86). Entspricht IPI-Nummern 00090659356 oder 00603808464."", ""score"": 5}, {""qid"": ""Q22906387"", ""label"": ""Anonymous;Code"", ""desc"": ""2022 visual novel video game developed by Mages and Chiyomaru Studio"", ""score"": 4}, {""qid"": ""Q37521799"", ""label"": ""Anonymous"", ""desc"": ""שם משפחה (Anonymous)"", ""score"": 2}]"
220e901c-cf7b-4a83-a999-550364bce236,Anonymous,,,Q4233718,anonymous,"unknown creator of a work (do not use as value of P50; use ""unknown value"" instead)",17,search_rank_0|name_exact|has_sitelinks,Q2492027,15,manual,name,"[{""qid"": ""Q4233718"", ""label"": ""anonymous"", ""desc"": ""unknown creator of a work (do not use as value of P50; use \""unknown value\"" instead)"", ""score"": 17}, {""qid"": ""Q2492027"", ""label"": ""Anonymous"", ""desc"": ""2007 studio album by Tomahawk"", ""score"": 15}, {""qid"": ""Q10920"", ""label"": ""אנונימוס"", ""desc"": ""קבוצת האקרים"", ""score"": 13}, {""qid"": ""Q86167"", ""label"": ""Therese Huber"", ""desc"": ""סופרת גרמנייה"", ""score"": 12}, {""qid"": ""Q37521799"", ""label"": ""Anonymous"", ""desc"": ""שם משפחה (Anonymous)"", ""score"": 9}, {""qid"": ""Q313819"", ""label"": ""Anonymous"", ""desc"": ""סרט משנת 2011"", ""score"": 7}, {""qid"": ""Q567632"", ""label"": ""Anonymous"", ""desc"": ""Band"", ""score"": 7}, {""qid"": ""Q166280"", ""label"": ""S.A."", ""desc"": ""type of corporation in countries that mostly employ civil law"", ""score"": 6}, {""qid"": ""Q567633"", ""label"": ""Anonymous Content"", ""desc"": ""U.S. film and television production, and a talent management company"", ""score"": 4}]"
610a3771-bef6-4434-8a10-5f2b9102ba7e,"Arnstein, Benedikt",,,Q816915,Benedikt David Arnstein,Austrian author,15,search_rank_1|p31_human|has_sitelinks,Q88551961,14,manual,name,"[{""qid"": ""Q816915"", ""label"": ""Benedikt David Arnstein"", ""desc"": ""Austrian author"", ""score"": 15}, {""qid"": ""Q88551961"", ""label"": ""Arnstein, Benedikt David (BLKÖ)"", ""desc"": ""entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 1, p. 69)"", ""score"": 14}]"
1755766e-d7c8-427b-9008-396a875e75fb,"Arnstein (Freiherr von), Nathan Adam",,,,,,0,,,0,manual,name,[]
488fe709-d4aa-4d38-8024-803bd5d34f59,"Arnstein, Josef",,,Q104210134,Josef Arnstein,"holocaust victim, b. 1899-10-28",15,search_rank_0|p31_human,Q104210132,13,manual,name,"[{""qid"": ""Q104210134"", ""label"": ""Josef Arnstein"", ""desc"": ""holocaust victim, b. 1899-10-28"", ""score"": 15}, {""qid"": ""Q104210132"", ""label"": ""Josef Arnstein"", ""desc"": ""holocaust victim, b. 1865-11-30"", ""score"": 13}, {""qid"": ""Q104210130"", ""label"": ""Josef Arnstein"", ""desc"": ""holocaust victim, b. 1896-08-02"", ""score"": 11}, {""qid"": ""Q104210131"", ""label"": ""Josef Arnstein"", ""desc"": ""holocaust victim, b. 1922-04-09"", ""score"": 9}, {""qid"": ""Q104210133"", ""label"": ""Josef Arnstein"", ""desc"": ""holocaust victim, b. 1892-01-31"", ""score"": 7}]"
f38f63c7-876c-4fb2-a57d-fc0d2c20e11f,"Arnstein, Meier",,,,,,0,,,0,manual,name,[]
4aae48ee-022f-4397-92e5-716006ba2719,"Arnstein, Nathan Adam (Freiherr von Arnstein)",,,,,,0,,,0,manual,name,[]
37574581-e74b-482d-99f4-07fe439fd120,"Arnstein, Wolf I.",,,,,,0,,,0,manual,name,[]
40e1c3e0-98d9-4aeb-bdce-e428893dadde,"Asch, Abraham",,,Q131772111,Abraham Asch,,15,search_rank_0|p31_human,Q323459,15,manual,name,"[{""qid"": ""Q131772111"", ""label"": ""Abraham Asch"", ""desc"": """", ""score"": 15}, {""qid"": ""Q323459"", ""label"": ""Abraham Ascher"", ""desc"": ""Rabbiner"", ""score"": 15}, {""qid"": ""Q59695409"", ""label"": ""Avraham Ashkenazi"", ""desc"": ""researcher ORCID ID = 0000-0002-1253-497X"", ""score"": 11}, {""qid"": ""Q325313"", ""label"": ""אשר אברהם"", ""desc"": ""פוליטיקאי הולנדי"", ""score"": 11}, {""qid"": ""Q104210501"", ""label"": ""Abraham Ascher"", ""desc"": ""Holocaust victim (born 1867)"", ""score"": 7}, {""qid"": ""Q2346533"", ""label"": ""Abraham Asscher"", ""desc"": """", ""score"": 7}, {""qid"": ""Q9138366"", ""label"": ""Abraham Ascher"", ""desc"": ""American historian"", ""score"": 7}, {""qid"": ""Q4668755"", ""label"": ""Abraham Ashkenazi"", ""desc"": ""rabbi (1813–1880)"", ""score"": 7}, {""qid"": ""Q12403361"", ""label"": ""Abraham Ashur"", ""desc"": ""Israeli military officer"", ""score"": 7}, {""qid"": ""Q125498265"", ""label"": ""Abraham Ascher"", ""desc"": ""Wikimedia disambiguation page"", ""score"": 2}]"
a666ad57-c35f-47b1-8736-c29470579049,"Bartenstein, Joseph",,,,,,0,,,0,manual,name,[]
830ea3b9-bd23-437d-b7ed-3f64f353adb7,Baschwitz,,,Q97977,Kurt Baschwitz,German journalist (1886–1968),20,search_rank_1|p31_human|name_exact|has_sitelinks,Q105996384,17,manual,name,"[{""qid"": ""Q97977"", ""label"": ""Kurt Baschwitz"", ""desc"": ""German journalist (1886–1968)"", ""score"": 20}, {""qid"": ""Q105996384"", ""label"": ""Baschwitz"", ""desc"": ""family name"", ""score"": 17}]"
544e9455-03bb-48a9-bef2-4b8f981ef13b,"Beer, Moses",,,Q113830,Max Beer,German academic (1864-1943),17,search_rank_0|p31_human|has_sitelinks,Q56526324,15,manual,name,"[{""qid"": ""Q113830"", ""label"": ""Max Beer"", ""desc"": ""German academic (1864-1943)"", ""score"": 17}, {""qid"": ""Q56526324"", ""label"": ""Moses Shabbethai Beer"", ""desc"": ""Italian rabbi"", ""score"": 15}]"
8084a91c-e3d6-4cfa-b35b-6db50d2a694f,"Beer, Peter",,,Q88592085,"Beer, Peter (BLKÖ)","entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 1, p. 223)",17,search_rank_0|name_exact|has_sitelinks,Q791961,15,manual,name,"[{""qid"": ""Q88592085"", ""label"": ""Beer, Peter (BLKÖ)"", ""desc"": ""entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 1, p. 223)"", ""score"": 17}, {""qid"": ""Q791961"", ""label"": ""Peter Beer"", ""desc"": ""Czech teacher (1758-1838)"", ""score"": 15}, {""qid"": ""Q989590"", ""label"": ""Peter Beer"", ""desc"": ""German university teacher"", ""score"": 13}, {""qid"": ""Q7172749"", ""label"": ""Peter Beer"", ""desc"": ""Royal Air Force air marshals"", ""score"": 11}, {""qid"": ""Q125269129"", ""label"": ""Peter Beer"", ""desc"": ""Austrian master builder"", ""score"": 7}, {""qid"": ""Q123749384"", ""label"": ""Peter Beer"", ""desc"": """", ""score"": 5}]"
420e09ab-9802-4da8-9f84-37bb9a88a20b,"Belinfante, Isaac",,,,,,0,,,0,manual,name,[]
bb0e8b83-4e66-4fc2-a9da-051abb3a35ad,"Belinfante, Isaac",,,,,,0,,,0,manual,name,[]
fdf0076c-10af-4c74-9fe6-d5ea979a0d50,Below (Münzdirektor),,,,,,0,,,0,manual,name,[]
3814a3ed-53d6-4885-87f4-5b4ac56506fe,"Bendavid, Lazarus",,,Q21222131,"Bendavid, Lazarus",encyclopedic article,17,search_rank_0|name_exact|has_sitelinks,Q97151,15,manual,name,"[{""qid"": ""Q21222131"", ""label"": ""Bendavid, Lazarus"", ""desc"": ""encyclopedic article"", ""score"": 17}, {""qid"": ""Q97151"", ""label"": ""Lazarus Bendavid"", ""desc"": ""Prussian mathematician and philosopher (1762-1832)"", ""score"": 15}]"
2b63d087-92b9-4f68-b842-5bd30c7f4e02,"Bendix, Jeremias",,,Q128909131,Jeremias Bendix,,15,search_rank_0|p31_human,Q125823787,13,manual,name,"[{""qid"": ""Q128909131"", ""label"": ""Jeremias Bendix"", ""desc"": """", ""score"": 15}, {""qid"": ""Q125823787"", ""label"": ""Jeremiah Bendix"", ""desc"": """", ""score"": 13}]"
65a457a0-ad25-489d-b680-5c66fc70a145,Berend Callmann,,,,,,0,,,0,manual,name,[]
732947b6-df79-41d3-9451-391a1dea370d,Berend Ellerich,,,,,,0,,,0,manual,name,[]
e1449d0a-de39-4269-9e89-4f460a582ea9,Berend Mendel,,,,,,0,,,0,manual,name,[]
5d3bae57-e486-421b-baf9-3be502e0f3f0,"Berend, S. L. (Landesältester)",,,,,,0,,,0,manual,name,[]
d4df543d-2db0-411f-8d5f-abff4a90a9a9,"Berr, Isaac Berr",,,,,,0,,,0,manual,name,[]
326f5239-e8ab-408f-afe3-eeb6a8ea226f,"Bing, Beer Abraham",,,,,,0,,,0,manual,name,[]
96007c2b-a67d-49a5-adc8-d8f6bba5d6ed,"Binge, Abraham",,,,,,0,,,0,manual,name,[]
82efb751-e3e3-4ed6-a2a1-bfb79ae067e6,Boas Isaak,,,,,,0,,,0,manual,name,[]
e063a500-af8f-4c27-a21b-75e34f3ef79d,"Bondi, Hirsch",,,,,,0,,,0,manual,name,[]
f262885a-c5d5-40f2-835f-2490195d6ba1,"Bondi, Isaac",,,,,,0,,,0,manual,name,[]
487ca253-4d84-4e95-8f66-a748d3cd8351,"Bondi, Moses",,,,,,0,,,0,manual,name,[]
2a8d5135-bc3e-456e-afb7-ed99e8aeb233,"Bresslau, Löbel",,,,,,0,,,0,manual,name,[]
5041b22b-071d-41f4-b09e-0d4ea7d5b571,"Brug, Lazarus",,,,,,0,,,0,manual,name,[]
356773bd-8703-46f4-80b1-b8a486fcbc47,Carlotta Arnstein,,,,,,0,,,0,manual,name,[]
18a8cb8b-5c06-48ef-9ead-946c54a81cf2,"Caspar, Isaac",,,,,,0,,,0,manual,name,[]
4644770f-fff8-470b-9553-88a1cab662d9,"Cohen, Benjamin Moses",,,,,,0,,,0,manual,name,[]
82b8e08b-291a-4ff6-a963-dfe85d9e6cdf,"Cohn, Nathan (Lehrer)",,,,,,0,,,0,manual,name,[]
ee76a9a6-16cf-41fb-a5eb-394f7a6a92cf,"Cologna, Abraham de",,,Q88584875,"Cologna, Abraham de (BLKÖ)","entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 2, p. 432)",17,search_rank_0|name_exact|has_sitelinks,Q2821857,15,manual,name,"[{""qid"": ""Q88584875"", ""label"": ""Cologna, Abraham de (BLKÖ)"", ""desc"": ""entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 2, p. 432)"", ""score"": 17}, {""qid"": ""Q2821857"", ""label"": ""Abraham de Cologna"", ""desc"": ""French rabbi"", ""score"": 15}]"
ceb9f255-fca1-4a3e-b530-21e8656ed9cd,"Cöslin, Chajim",,,,,,0,,,0,manual,name,[]
df6019e3-ac7c-4fda-b203-3b39794d05ae,David Jakob Ries,,,,,,0,,,0,manual,name,[]
2ae7cdc2-6cb7-4a49-bb3e-a7ef66aeefff,"David, Joseph Nathan",,,,,,0,,,0,manual,name,[]
3f1586a2-5cf4-473a-9525-514365806998,David Levi,,,Q3703232,David Levi,Italian-Jewish poet (1816–1898),22,search_rank_0|p31_human|name_exact|has_sitelinks,Q3018330,20,manual,name,"[{""qid"": ""Q3703232"", ""label"": ""David Levi"", ""desc"": ""Italian-Jewish poet (1816–1898)"", ""score"": 22}, {""qid"": ""Q3018330"", ""label"": ""David Lévi Alvarès"", ""desc"": """", ""score"": 20}, {""qid"": ""Q441553"", ""label"": ""David Levi"", ""desc"": ""US-amerikanischer Musiker und Schauspieler"", ""score"": 18}, {""qid"": ""Q368263"", ""label"": ""David Levithan"", ""desc"": ""American author and editor"", ""score"": 13}, {""qid"": ""Q5236531"", ""label"": ""David Levi"", ""desc"": ""כדורגלן ישראלי"", ""score"": 12}, {""qid"": ""Q5236530"", ""label"": ""דוד לוי"", ""desc"": ""British scholar"", ""score"": 12}, {""qid"": ""Q5236527"", ""label"": ""David Levi"", ""desc"": ""Wikimedia-Begriffsklärungsseite"", ""score"": 9}, {""qid"": ""Q141478"", ""label"": ""David Levine"", ""desc"": ""American caricaturist (1926-2009)"", ""score"": 9}]"
38a20c96-1c38-4005-99fd-e6416eccc9ac,David Levin,,,Q102407901,David Levin,Ph.D. University of Maryland College Park 2010,20,search_rank_0|p31_human|name_exact,Q110089477,18,manual,name,"[{""qid"": ""Q102407901"", ""label"": ""David Levin"", ""desc"": ""Ph.D. University of Maryland College Park 2010"", ""score"": 20}, {""qid"": ""Q110089477"", ""label"": ""David Levin"", ""desc"": ""born:1924-11-21|died:1998-07-12|; Levin, David; Levin, David 1924-1998"", ""score"": 18}, {""qid"": ""Q19803643"", ""label"": ""David Levin"", ""desc"": ""israelischer Eishockeyspieler"", ""score"": 18}, {""qid"": ""Q128241310"", ""label"": ""David Levin"", ""desc"": ""1848-"", ""score"": 14}, {""qid"": ""Q51295148"", ""label"": ""David Levin"", ""desc"": ""amerikanischer Ballonsportler"", ""score"": 14}, {""qid"": ""Q7059408"", ""label"": ""David Levin"", ""desc"": ""theatrical director and Hebrew poet (1934–2022)"", ""score"": 12}, {""qid"": ""Q103294584"", ""label"": ""David Levin"", ""desc"": """", ""score"": 10}, {""qid"": ""Q105362302"", ""label"": ""David Levin"", ""desc"": ""Holocaust victim (born 1869)"", ""score"": 10}, {""qid"": ""Q71300871"", ""label"": ""David Levin"", ""desc"": ""Schachspieler"", ""score"": 10}]"
d1a2829c-6610-414d-b910-a3e815b4ef90,"David, Meyer Michel (Kammeragent)",,,,,,0,,,0,manual,name,[]
701e78d6-878a-4e63-b195-eb82dfe37aec,"Detmold, Anna",,,,,,0,,,0,manual,name,[]
a8481dc2-216b-4d52-8e14-cddc1ccdb9d4,Diehl,,,Q18411342,Diehl,family name,17,search_rank_0|name_exact|has_sitelinks,Q21062306,16,manual,name,"[{""qid"": ""Q18411342"", ""label"": ""Diehl"", ""desc"": ""family name"", ""score"": 17}, {""qid"": ""Q21062306"", ""label"": ""William Webster Diehl"", ""desc"": ""botanist (1891-1978)"", ""score"": 16}, {""qid"": ""Q1220628"", ""label"": ""Diehl (company)"", ""desc"": ""German corporate group headquartered in Nuremberg"", ""score"": 15}, {""qid"": ""Q2712631"", ""label"": ""90138 Diehl"", ""desc"": ""אסטרואיד"", ""score"": 13}, {""qid"": ""Q21220257"", ""label"": ""Diehlea"", ""desc"": ""genus of insects"", ""score"": 6}, {""qid"": ""Q123114877"", ""label"": ""Galerie Volker Diehl"", ""desc"": ""art gallery in Berlin"", ""score"": 5}]"
9d3d6921-746e-4a32-8302-6bb4b30fbe63,Dohm (Syndicus),,,Q214983,כריסטיאן וילהלם פון דוהם,היסטוריון וסופר פוליטי גרמני (1751–1820),18,search_rank_2|p31_human|name_exact|has_sitelinks,Q21492352,17,manual,name,"[{""qid"": ""Q214983"", ""label"": ""כריסטיאן וילהלם פון דוהם"", ""desc"": ""היסטוריון וסופר פוליטי גרמני (1751–1820)"", ""score"": 18}, {""qid"": ""Q21492352"", ""label"": ""Dohm"", ""desc"": ""family name"", ""score"": 17}, {""qid"": ""Q36955341"", ""label"": ""Dohmen"", ""desc"": ""family name"", ""score"": 12}, {""qid"": ""Q6467"", ""label"": ""Dohma"", ""desc"": ""Gemeinde im Landkreis Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland"", ""score"": 11}, {""qid"": ""Q60375370"", ""label"": ""Dohm"", ""desc"": ""human settlement in Germany"", ""score"": 9}, {""qid"": ""Q36883269"", ""label"": ""Dohmann"", ""desc"": ""family name"", ""score"": 4}, {""qid"": ""Q98793045"", ""label"": ""Dohmeyers Weg"", ""desc"": ""street in the city district of Kleefeld in Hanover, Germany"", ""score"": 4}]"
55240572-2d2d-4b97-ba0c-38387999d960,"Dormitzer, Meir Markus",,,,,,0,,,0,manual,name,[]
8effd4e0-0875-4c96-b641-82a01703248a,"Driesen, Mordechai",,,,,,0,,,0,manual,name,[]
ecd73b46-67c2-431c-91b2-aebe3661dcd5,Elbthal,,,,,,0,,,0,manual,name,[]
c238bf2c-03af-4d17-9439-05328573da83,Elia b. Daniel (Jaffe),,,,,,0,,,0,manual,name,[]
83079763-16d3-4722-9149-27f54ac3bfc9,Elias Meyer (Kammeragent),,,,,,0,,,0,manual,name,[]
2886fd46-e657-4445-b046-cec795875168,"Elieser, Herz",,,,,,0,,,0,manual,name,[]
66ac3d9e-fd09-4835-83bf-8b01fac04282,Engel,,,Q2348034,מייקל ס. אנגל,אנטומולוג אמריקאי,18,search_rank_2|p31_human|name_exact|has_sitelinks,Q19694228,17,manual,name,"[{""qid"": ""Q2348034"", ""label"": ""מייקל ס. אנגל"", ""desc"": ""אנטומולוג אמריקאי"", ""score"": 18}, {""qid"": ""Q19694228"", ""label"": ""Engel"", ""desc"": ""family name"", ""score"": 17}, {""qid"": ""Q21142107"", ""label"": ""Engel"", ""desc"": ""male given name"", ""score"": 15}, {""qid"": ""Q235113"", ""label"": ""Engel"", ""desc"": ""übernatürliches Geistwesen in Religionen und Mythologien"", ""score"": 11}, {""qid"": ""Q105906073"", ""label"": ""Engel"", ""desc"": """", ""score"": 10}, {""qid"": ""Q608380"", ""label"": ""Engel"", ""desc"": ""1997 single by Rammstein"", ""score"": 9}, {""qid"": ""Q473472"", ""label"": ""Hahajima"", ""desc"": ""inhabited island in the Bonin/Ogasawara archipelago, administered as part of Tokyo, Japan"", ""score"": 7}, {""qid"": ""Q18252114"", ""label"": ""Engelbert"", ""desc"": ""male given name"", ""score"": 4}]"
5dedca5d-e288-4288-ac67-0b3165233559,Ephraim,,,Q16275698,Ephraim,male given name,17,search_rank_0|name_exact|has_sitelinks,Q16867299,15,manual,name,"[{""qid"": ""Q16275698"", ""label"": ""Ephraim"", ""desc"": ""male given name"", ""score"": 17}, {""qid"": ""Q16867299"", ""label"": ""Ephraim"", ""desc"": ""family name"", ""score"": 15}, {""qid"": ""Q203251"", ""label"": ""אפרים"", ""desc"": ""דמות מקראית, מבניו של יוסף בן יעקב"", ""score"": 13}, {""qid"": ""Q180374"", ""label"": ""Frank Gehry"", ""desc"": ""Canadian and American architect (1929–2025)"", ""score"": 13}, {""qid"": ""Q140255552"", ""label"": ""Ephraim Chibuzor"", ""desc"": ""Nigerian professional caregiver, real estate and Enterpreneur"", ""score"": 10}, {""qid"": ""Q482749"", ""label"": ""Ephraim"", ""desc"": ""עיר בארצות הברית"", ""score"": 9}, {""qid"": ""Q1329576"", ""label"": ""שבט אפרים"", ""desc"": ""משבטי ישראל"", ""score"": 7}, {""qid"": ""Q29038907"", ""label"": ""Ephraim"", ""desc"": ""männlicher Vorname (אפרים)"", ""score"": 5}]"
c9cb4d5d-aad1-4e81-8b49-2a87c52c061c,"Ephraim, David",,,Q115251422,David Ephraim Joël,,15,search_rank_0|p31_human,Q102149894,13,manual,name,"[{""qid"": ""Q115251422"", ""label"": ""David Ephraim Joël"", ""desc"": """", ""score"": 15}, {""qid"": ""Q102149894"", ""label"": ""David Ephraim Rohrlich"", ""desc"": ""Ph.D. Yale University 1976"", ""score"": 13}, {""qid"": ""Q21554227"", ""label"": ""David Ephraim Hart-Davies"", ""desc"": """", ""score"": 11}, {""qid"": ""Q133637503"", ""label"": ""David Ephraim Hart-Davies"", ""desc"": """", ""score"": 9}, {""qid"": ""Q5233179"", ""label"": ""David E. Hayden"", ""desc"": ""United States Navy Medal of Honor recipient"", ""score"": 9}, {""qid"": ""Q110963893"", ""label"": ""David E. Crawley"", ""desc"": ""American lawyer"", ""score"": 7}]"
26ce8d84-6b9c-4b24-8d62-d90d6f0be77e,Ephraim Lion Davids,,,,,,0,,,0,manual,name,[]
cdb900b8-119c-459c-af4f-23c94b74bd2f,"Epstein, Pelte Moses",,,,,,0,,,0,manual,name,[]
614b20c5-3d61-4c23-99a8-70c695404720,"Erhraim, Veitel H.",,,,,,0,,,0,manual,name,[]
